worker_id	segment	warmup	trial	stimulus	target	delay	correct	response	rt	addend1	addend2	addend1_s	addend2_s	calib_rt	keyboard	adjusted_rt
AC5FF0SJI0RXM	add2	False	49	2+2	4	816	True	4	961	2	2	02	02	830.0	numbar	131.0
AC5FF0SJI0RXM	add2	False	61	3+1	4	854	True	4	977	3	1	03	01	830.0	numbar	147.0
AC5FF0SJI0RXM	add2	False	89	4+0	4	810	True	4	972	4	0	04	00	830.0	numbar	142.0
A1WELSASLGM0P4	add2	False	10	0+14	14	507	True	14	935	0	14	00	14	1254.0	numbar	-319.0
A1WELSASLGM0P4	add2	False	104	1+13	14	943	True	14	1188	1	13	01	13	1254.0	numbar	-66.0
A1WELSASLGM0P4	add2	False	110	4+10	14	424	True	14	1376	4	10	04	10	1254.0	numbar	122.0
A1WELSASLGM0P4	add2	False	2	5+9	14	405	True	14	997	5	9	05	09	1254.0	numbar	-257.0
A1WELSASLGM0P4	add2	False	39	9+5	14	701	True	14	1579	9	5	09	05	1254.0	numbar	325.0
A1WELSASLGM0P4	add2	False	100	13+1	14	928	True	14	1114	13	1	13	01	1254.0	numbar	-140.0
A1WELSASLGM0P4	add2	False	124	12+2	14	805	True	14	969	12	2	12	02	1254.0	numbar	-285.0
A1WELSASLGM0P4	add2	False	52	8+6	14	695	True	14	1329	8	6	08	06	1254.0	numbar	75.0
A1WELSASLGM0P4	add2	False	58	2+12	14	626	True	14	1189	2	12	02	12	1254.0	numbar	-65.0
A1WELSASLGM0P4	add2	False	136	14+0	14	500	True	14	1201	14	0	14	00	1254.0	numbar	-53.0
